zenith,angle_of_incidence,shortwave_radiation_backwards_sfc,total_cloud_cover_sfc,relative_humidity_2_m_above_gnd,low_cloud_cover_low_cld_lay,medium_cloud_cover_mid_cld_lay,temperature_2_m_above_gnd,total_precipitation_sfc,high_cloud_cover_high_cld_lay,generated_power_kw
92.109203,102.36899,0,100,93,100,100,7.09,0,9,135.24753
74.514472,47.045819,477.93,61,26,0,61,5.6,0,8,1160.2291
75.258212,90.151832,358.67,0,20,0,0,29.9,0.1,0,0.28582226
62.039372,21.435635,267,100,74,100,0,1.78,0,0,44.855
55.310264,61.630836,376.47,6.9,35,0,0,24.84,0,23,1700.4577
49.63606,49.748793,744.04,0,22,0,0,29.49,0,0,1316.8029
60.873827,24.896697,542.01,0,45,0,0,18.26,0,0,2171.4181
60.697624,58.546622,52.51,100,88,100,100,2.89,1.1,100,188.40683
30.566522,15.542691,825.92,0,23,0,0,27.26,0,0,2620.045
92.328804,102.81095,0,3.3,72,0,0,13.54,0,11,73.565556
41.13624,49.989597,580.28,0,26,0,0,29.19,0,0,2077.2933
56.771785,39.418784,385.37,0,45,0,0,16.74,0,0,2307.2553
43.905626,6.095989,529.55,18,43,18,10,17.75,0,0,1100.8892
32.821951,40.298745,838.38,10,13,0,10,34.9,0,0,352.67295
62.43138,21.580768,105.02,100,86,100,0,-1.85,0.1,0,705.53718
68.117352,33.140946,113.03,43,71,0,43,5.24,0,0,2133.7886
53.960639,29.790187,315.06,0,22,0,0,7.73,0,0,2419.4932
64.125882,23.366081,457.46,0,44,0,0,10.28,0,0,2607.0784
57.192665,30.478102,226.06,100,81,100,0,1.33,0,0,659.44101
52.242686,16.148358,315.95,30,74,30,0,1.93,0,0,1215.9592
25.594042,28.886051,906.02,0,16,0,0,31.89,0,0,2251.1023
76.526331,53.605532,66.75,10.2,73,0,0,6.88,0,34,1891.3403
62.212331,56.605185,227.84,74,70,6,74,13.76,0,8,1018.6906
66.440358,26.269957,453.9,0,45,0,0,11.07,0,0,2080.85
83.710192,102.21591,0,0,54,0,0,13.39,0,0,117.60306
59.035686,30.054042,279.46,100,66,100,100,2.89,0,0,751.18134
59.517127,66.383076,661.27,0,30,0,0,18.74,0,0,500.15444
22.889731,32.091147,923.82,0,27,0,0,29.61,0,0,2220.5767
116.88234,108.32456,317.73,43,76,25,43,5.33,0,0,38.921569
51.568635,43.931465,469.92,0,42,0,0,13.61,0,0,2511.6848
26.659074,19.585115,886.44,0,40,0,0,14.63,0,0,2799.6825
55.420004,47.752598,712,0,30,0,0,16.48,0,0,1483.3401
64.284634,31.80585,215.38,100,74,100,69,2.35,0.1,0,1779.7003
69.260386,53.338295,163.76,40,83,40,0,4.67,0,0,347.5292
